"Overall Experience","Staff Attitude","Communication","Environment","What Could Be Improved"
"My pain was not managed well and this was the biggest issue.","Staff acknowledged my concerns but seemed powerless to act. System issues not individual failures.","Pain management plan was discussed once then never reviewed despite my repeated requests for stronger medication.","Environment was fine and well maintained.","A proper pain review process where patients can flag uncontrolled pain and get a timely clinical response."
"Tremendous experience. Staff went above and beyond every single day.","All staff from porters to consultants were warm and genuinely caring.","I was told what was happening at every step and never felt confused or anxious about the process.","The ward was immaculate and there was a quiet area where I could speak to family in private.","Perhaps more volunteers or companion visits for patients who do not have family nearby."
"Good overall but the discharge process was rushed and stressful.","Wonderful nursing staff. Felt like they really knew me as a person.","Good communication during my stay but discharge information was vague and rushed.","Acceptable environment. Had one issue with a broken call bell that took two days to fix.","A proper discharge checklist explained verbally would make a big difference for patients going home alone."
"Mixed experience. Great surgery team but poor ward aftercare.","Theatre staff were exceptional and reassuring. Ward staff seemed overworked and sometimes curt.","The surgical team communicated brilliantly. After surgery wound care instructions were unclear.","Operating area was pristine. The ward was clean but noisy during the day.","A structured handover between theatre teams and ward nurses so nothing falls through the gaps."
"Very poor. Discharge was arranged without my carer being informed or involved.","Most staff were kind but there were communication failures that caused real problems for me.","I repeatedly asked for my family to be contacted before discharge. This did not happen until I was already in a taxi.","Clean ward but the bed nearest the window had a faulty curtain giving no privacy.","Mandatory involvement of carers and family in discharge planning for patients who need support at home."
"Excellent experience throughout a frightening time.","The palliative care nurses were extraordinary. Compassionate and always present when needed.","Family meetings were held regularly and we were always told the truth gently and with care.","A calm and private environment which meant a lot during such a difficult time.","More visible information about what support is available to families after bereavement."
"Positive but a few issues with information given at admission.","Staff were busy but always stopped to help when asked and never made me feel like a nuisance.","Initial information at admission was confusing. Once I had a named nurse things improved significantly.","The ward was clean and reasonably quiet. Meals were adequate.","Named nurse system made a real difference. This should be standard and better communicated at the start."
"My mental health needs were largely ignored during my physical admission.","Physical health staff were caring but lacked training or confidence around mental health.","Nobody asked about my mental health even though it was clearly affecting my recovery.","Environment was fine for physical care but not adapted for patients with anxiety or sensory sensitivities.","Mental health screening at admission and access to a liaison psychiatry nurse would have helped enormously."
"Wonderful staff but the food was consistently poor and this affected my recovery.","I cannot praise the nursing staff highly enough. Patient kind and tireless.","All information was clear and my family were kept updated at every stage.","Clean ward and comfortable bed. The food however was cold and nutritionally poor.","A proper review of the food service. Nutrition really matters when you are trying to heal."
"Reasonably good experience. Main complaint is about parking and access.","Staff were professional and attentive throughout my stay.","Good clinical communication throughout. Letters after discharge were prompt and easy to understand.","Clean and well maintained. Good access to natural light which helped my mood during recovery.","Parking is a genuine barrier for patients and families. Some form of subsidy for those attending frequently."
"The lack of continuity with doctors was my biggest frustration.","Nursing staff were consistent and excellent. Different doctor every day was confusing.","Difficult to build a relationship with the clinical team when the consultant changed every day.","Clean ward. Temperature was fine. Found the communal bathroom areas adequate.","A named consultant or better handover notes so patients do not have to re-explain their situation each day."
"I felt safe and respected throughout a lengthy admission.","Every member of staff I met was professional and warm. Special mention to the physiotherapy team.","I was given detailed written information about my condition and a clear plan for rehabilitation.","The rehabilitation ward was bright and clean with good facilities for exercise and movement.","Possibly more psychological support for patients facing long-term disability after illness."
"Chaotic admission process but good care once settled on the ward.","Admissions staff were harassed and communication suffered. Ward staff were brilliant.","Initial information was chaotic and stressful. Once on the ward everything was clearly explained.","Clean ward. Shared bay was a bit noisy but staff managed this well.","A smoother admissions pathway and better communication between the emergency department and wards."
"Excellent end of life care for my mother. Cannot thank the team enough.","Nurses were compassionate beyond measure. They supported the whole family not just my mother.","The team were honest about prognosis and gave us time to ask questions and say goodbye.","A peaceful private room was provided which meant everything to us as a family.","Nothing. This was the best possible experience in the worst possible circumstances."
"Good experience but had concerns about infection control.","Staff were friendly and professional throughout my stay.","Good communication about my treatment. However I was not told about the infection risk in shared bays.","Ward was generally clean but observed some poor hand hygiene from visitors and occasionally staff.","Stricter enforcement of hand hygiene protocols especially for visitors and better information for patients."
"Positive experience overall. Staff clearly work incredibly hard.","Staff were attentive and cheerful despite what appeared to be an extremely pressured environment.","Good communication. My GP was also kept informed which meant a smooth transition home.","Clean environment. The ward felt calm and well organised even during busy periods.","More visible acknowledgment and support for staff. They are clearly under enormous pressure."
"I found the whole experience deeply distressing due to poor communication.","Some staff were excellent but there was clearly no system for sharing information between shifts.","Nobody told me about a change in my treatment plan. I found out from reading my own notes.","The ward was clean. I had no complaints about the physical environment.","A proper handover system and a daily summary for patients about their own care and plan."
"Very positive. The children's ward team was exceptional.","Staff were warm and made my daughter feel safe and comfortable.","Parents were included in all decisions and given written summaries of each day's plan.","Bright and child-friendly environment. Clean and well organised.","Perhaps a dedicated quiet room for parents who need to step away briefly without leaving the ward."
"Adequate care but felt like a number in a system rather than a person.","Staff were competent but interactions often felt rushed and transactional.","I received information but it was delivered quickly and I did not feel I had time to ask questions.","Clean and functional environment. Nothing remarkable positive or negative.","Time for staff to sit and talk with patients even briefly. Human connection matters enormously."
"Overall a positive experience with one significant issue around consent.","Fantastic nursing team. Felt genuinely cared for throughout.","I was not given adequate information before consenting to a procedure. Felt pressured to agree quickly.","Clean and comfortable environment throughout my stay.","A robust consent process with dedicated time for patients to ask questions and a cooling off period where appropriate."
